id;segment;score;is_active;created_by;created_on;updated_by;updated_on
1;E;15351;true;comestible er;2025-01-03;mysteriously times;2025-01-03
2;D;29575;false;border victoriously;2025-01-04;alligator approach;2025-01-04
3;D;29104;false;cruel before;2025-01-04;mysterious nor configuration;2025-01-03
4;G;22146;false;miskey dramatize;2025-01-04;exalted;2025-01-04
5;E;26794;false;than only duh;2025-01-04;amongst daddy;2025-01-04
6;J;10732;false;coast;2025-01-03;forenenst essay;2025-01-04
7;G;25387;false;excepting;2025-01-04;save bah given;2025-01-03
8;A;13759;false;uselessly;2025-01-04;statue mid fearless;2025-01-04
9;G;6405;false;mount;2025-01-03;waft spew linseed;2025-01-03
10;C;1015;false;afore vastly;2025-01-04;unnaturally;2025-01-03
