id;name;description;vendor;link_url;is_active;created_by;created_on;updated_by;updated_on
1;duh;fence;bah;often furthermore mortally;false;spectate geez;2025-01-04;zowie alongside concerning;2025-01-04
2;continually;honestly;gosh armoire ugh;deck similar yippee;false;rebuff;2025-01-04;own incline entry;2025-01-03
3;ah necklace;brr;precious puritan slip;vastly failing;false;molasses;2025-01-04;beret hidden gadzooks;2025-01-03
4;ethyl;until;aw ah unbearably;where;false;hawk um lobotomise;2025-01-04;brr;2025-01-04
5;gee fooey nor;since;mechanically;inside;false;phooey posh likewise;2025-01-03;eek;2025-01-04
6;sedately fine why;conservative ditch;affiliate compromise fiercely;whoa or;false;reconstitute uh-huh er;2025-01-04;meanwhile custom;2025-01-04
7;ostrich interior although;now a;so;athwart apologise supposing;true;upon;2025-01-04;peter;2025-01-04
8;worth far;capsize confusion;pish intent;than;true;shakily;2025-01-03;meaningfully crossly;2025-01-03
9;necklace;ha by climb;yahoo;fooey debut;false;brr;2025-01-03;ew tail amidst;2025-01-04
10;circa;cleverly;operating;tag;true;like abaft;2025-01-04;folklore jubilant delectable;2025-01-03
