id;message;video_url;payment_url;type;is_final_video;is_downloaded;is_active;created_by;created_on;updated_by;updated_on
1;righteously parsnip;onto powerfully;admired;AiResponse;true;false;true;duffel solution;2025-01-03;terrible;2025-01-03
2;pace narrow;ha aw phooey;language;AiResponse;true;false;true;wobbly or;2025-01-04;via given amazing;2025-01-04
3;than chasuble familiarize;custody;worriedly;GeneratedVideo;false;true;true;mechanically excitedly;2025-01-03;rigidly wonderfully;2025-01-03
4;though structure decisive;next with;suspension bruised;PaymentRequest;false;true;false;ugh rudely till;2025-01-04;huzzah;2025-01-04
5;boohoo modulo;unfortunately funny pushy;old-fashioned even pfft;GeneratedVideo;false;false;false;tune interestingly anguished;2025-01-04;untried aha independence;2025-01-04
6;excepting apud;miserly;formula monocle optimistically;PaymentStatus;true;true;true;since remarkable;2025-01-04;unfortunately;2025-01-04
7;secondary;if winged;whoa gah yahoo;GeneratedVideo;false;true;true;regularly supposing;2025-01-04;save collaborate incidentally;2025-01-03
8;pace worth;mosh accidentally;extremely readmit;UserMessage;false;true;true;genuine lest frail;2025-01-03;prudent;2025-01-04
9;super decouple;legal gosh keenly;that concerning;PaymentRequest;true;true;true;interesting even;2025-01-04;hawk;2025-01-04
10;quicker;helpfully whoa;impressionable uh-huh purple;AiResponse;false;false;false;keenly pendant;2025-01-03;ugh meanwhile husband;2025-01-03
