id;is_payment_link_generated;is_paid;is_video_generated;is_video_downloaded;is_active;created_by;created_on;updated_by;updated_on
1;false;false;false;false;false;underplay true beneath;2025-01-04;how memorise forgo;2025-01-03
2;false;true;true;true;false;innocent stint;2025-01-04;kindly;2025-01-03
3;true;false;false;true;true;whoever;2025-01-03;unnecessarily zowie;2025-01-03
4;true;true;false;true;false;usefully woot;2025-01-04;ouch pfft the;2025-01-03
5;true;false;true;false;true;apprehensive shrill;2025-01-04;oh wombat;2025-01-04
6;true;false;false;false;false;than gah strong;2025-01-04;modulo;2025-01-04
7;false;true;false;true;true;whoever inasmuch swine;2025-01-03;incomplete very;2025-01-04
8;false;true;false;false;false;rosin;2025-01-03;geez;2025-01-03
9;true;false;false;false;false;failing perfection;2025-01-04;winged rosin;2025-01-04
10;false;true;false;true;true;ouch as;2025-01-04;before swim;2025-01-03
