id;prize_title;prize_amount;tds_amount;tds_certificate_url;other_deduction_amount;deduction_reason;deduction_json_data;deduction_certificate_url;paid_amount;transaction_id;transaction_screenshot_url;transaction_date;transaction_status;paid_by;is_active;created_by;created_on;updated_by;updated_on
1;solemnly;20567.15;28684.69;15729.28;32496.29;surprise hammock;misjudge brr;27491.58;30071.48;ouch gladly;flash;2025-01-04;Initiated;likewise crossly worth;true;hence second-hand ah;2025-01-03;until;2025-01-04
2;simple improbable;8306.5;19928;8032.23;19233.87;omelet ha;categorise productive before;3640.05;3418.92;if lazily er;meh;2025-01-04;Received;lest feather than;false;mostly;2025-01-03;euphonium nasalise the;2025-01-04
3;pfft;29166.94;31978.65;4917.23;27686.76;afraid minus certainly;mmm with favorite;12378.28;29439.29;per;puzzled;2025-01-03;Received;skeleton yum;true;sunbathe;2025-01-03;like freely aha;2025-01-03
4;baseboard contravene and;22106.96;17857.85;28197.28;2799.93;understanding married except;part platter boo;22047.78;15610.51;valuable;ah;2025-01-04;Initiated;although;true;next intelligent;2025-01-03;ew worthless;2025-01-04
5;abnormally boohoo;16448.42;3709.02;20256.67;27151.05;than dapper hospitalization;ugh dereference;12323.09;871.94;psst;afore;2025-01-03;Received;intensely tusk treasure;false;steel euphonium;2025-01-03;per brand kiss;2025-01-04
6;fraudster knowingly;3435.62;3718.02;23115.88;32036.84;blissfully why aboard;circa afore;9065.19;17249.26;narrowcast modulo;unless oh;2025-01-04;Received;qua plain uselessly;false;furthermore so eek;2025-01-04;quintuple authentic muffled;2025-01-03
7;anenst consequently;18333.79;13065.55;5333.7;4097.69;loftily;why;25223.52;15633.4;overvalue gratefully substitution;under uh-huh but;2025-01-04;Initiated;yowza qua happy;true;geez;2025-01-04;testify till from;2025-01-04
8;incidentally;7929.04;5036.27;20873.86;24235.1;part;self-reliant nicely since;8153.97;31746.7;wholly whoever;pish;2025-01-03;Received;yowza refer;true;impure however;2025-01-03;squirm;2025-01-04
9;drat though;1698.07;7402.75;22440.51;8665.59;lone;knowledgeably blah bewail;3341;1168.79;suburban writ;upright;2025-01-04;Received;boohoo deceivingly accurate;true;vanadyl which astride;2025-01-04;seal ugh;2025-01-03
10;worldly thoughtfully grandson;4597.67;26943.51;8657.57;29197.04;grass mobility waterspout;unto amnesty;7673.88;8946.84;bootleg that;since;2025-01-03;Initiated;next vacantly;false;unless vaguely ha;2025-01-04;fold unabashedly stark;2025-01-03
