id;message;is_contact_viewed;is_followed;is_deleted;is_active;created_by;created_on;updated_by;updated_on
1;loosely;true;false;false;true;er;2025-01-03;needily heavily;2025-01-04
2;who;false;false;false;false;round bah;2025-01-03;satirize;2025-01-03
3;reproachfully;true;true;true;true;monasticism;2025-01-03;inferior that;2025-01-04
4;huzzah;true;true;true;true;corny;2025-01-04;notwithstanding uh-huh tightly;2025-01-04
5;circa degrease gee;true;false;false;true;formula upward as;2025-01-04;brr worth;2025-01-03
6;hmph once pish;true;false;true;false;idle soap;2025-01-04;quietly;2025-01-03
7;that;true;true;false;false;to worth;2025-01-04;instead trial;2025-01-04
8;eek hmph ouch;true;true;true;false;who yippee boiling;2025-01-04;splendid per;2025-01-04
9;notwithstanding once into;false;false;true;false;defiantly alongside;2025-01-04;gleefully;2025-01-04
10;co-producer psst on;true;false;true;false;um pro;2025-01-04;troubled;2025-01-04
