id;prize_type;prize_tag;prize_details;prize_value_type;prize_value;count_of_possible_winners;is_active;created_by;created_on;updated_by;updated_on
1;Group;as until;across sugary;Other;10966.56;28795;true;frivolous phew lounge;2025-01-04;mmm carouse deadly;2025-01-03
2;Individual;lazy distorted;minister bah tiny;Money;21757.75;27885;true;chromakey ouch famously;2025-01-03;after;2025-01-04
3;Individual;etch satisfy middle;iridescence weary;Money;19711.23;7726;false;ick;2025-01-03;circa;2025-01-04
4;Individual;likewise farm;merrily um;Other;21578.36;23828;false;for secret over;2025-01-04;rout huzzah including;2025-01-04
5;Group;mmm permafrost satisfy;vice;Money;21879.33;21178;true;seemingly;2025-01-03;mockingly what;2025-01-03
6;Group;against rebuild;outrageous scamper;Money;5830.29;18497;true;although;2025-01-04;patiently before;2025-01-03
7;Group;gah;through whereas ouch;Money;19178.92;20271;false;shadowbox toward;2025-01-04;loyally;2025-01-03
8;Individual;source when;at drat;Money;4122.2;20634;true;vice;2025-01-03;meaningfully hierarchy gestate;2025-01-03
9;Group;modulo next incidentally;liquid;Money;11185.2;27401;true;regal whirlwind;2025-01-03;formula hollow untried;2025-01-04
10;Group;past;quaintly grouchy rust;Other;19456.31;7373;false;expense etch condense;2025-01-04;safely;2025-01-04
