id;is_liked;is_skipped;is_disliked;is_watched;is_fully_watched;is_reported;report_type;rating;comment;report_reason;is_blocked;is_moderated;is_active;created_by;created_on;updated_by;updated_on
1;false;true;true;false;false;true;Harassment;4;truly glass;kooky;true;false;false;congregate whoa after;2025-01-03;earth;2025-01-04
2;true;true;false;true;true;false;Threats;3;even major loftily;ack;false;false;false;plugin motionless;2025-01-03;that so what;2025-01-03
3;true;false;true;false;false;false;OtherHarmful;3;unique fooey yowza;of fork;false;false;true;any following incidentally;2025-01-03;between;2025-01-04
4;false;true;true;false;true;true;Other;3;blah;mmm;false;false;false;geez times;2025-01-03;atop;2025-01-04
5;true;false;false;true;true;true;OtherHarmful;2;miscalculate;throughout gadzooks trash;true;true;true;merge unlike boo;2025-01-03;wedge canter;2025-01-03
6;false;false;true;false;false;false;Doxing;1;loudly jell;aggravating;false;false;true;round;2025-01-04;knottily deflate;2025-01-03
7;false;true;true;false;false;true;FalseInformation;4;splosh;lifestyle if;false;true;true;fully or shabby;2025-01-04;table;2025-01-04
8;false;true;true;true;true;true;OtherHarmful;1;healthily;scramble;false;false;true;rudely though;2025-01-04;helplessly coolly coop;2025-01-04
9;true;false;true;false;false;true;FalseInformation;1;psst finally;sour duh concerned;false;true;true;shout fooey thorn;2025-01-03;legging annually loosely;2025-01-04
10;true;true;false;false;false;true;NonConsensual;2;excepting;divert;true;true;false;who;2025-01-04;extension;2025-01-04
