id;name;code;is_moderated;is_deleted;deletion_reason;merged_with_tag_name;merged_with_tag_code;is_active;created_by;created_on;updated_by;updated_on
1;ick;after mid;false;true;true;scheme delightfully contravene;gadzooks;true;uncomfortable;2025-01-03;till;2025-01-04
2;corrupt;not;false;false;false;until;topsail livid plump;false;pfft than;2025-01-03;government since fully;2025-01-04
3;slowly or;ha;false;false;true;manner;pro how;true;dearly around phooey;2025-01-04;mispronounce warmly;2025-01-03
4;reproach ew among;emphasize;false;true;true;malfunction waterlogged tremendously;of vast;false;amidst whose;2025-01-03;cricket finer;2025-01-04
5;upon;mmm;true;true;true;pish draft;meh;true;before modulo boohoo;2025-01-04;object scarcely merrily;2025-01-03
6;deafening to;twist likewise;false;false;true;which;shred sermon;false;jeopardise including;2025-01-03;like cutlet;2025-01-04
7;vast when;furlough;false;true;true;but limply zowie;airbrush;true;tousle;2025-01-03;cope prudent psst;2025-01-04
8;willing;dramatize;false;false;true;pfft;gummy draft but;true;brr;2025-01-04;incidentally dead;2025-01-03
9;courageously;duh notwithstanding out;true;false;true;now jaunty above;beep object agile;true;drat;2025-01-03;more circa;2025-01-03
10;assail compromise;brave switch scramble;false;false;true;insignificant;meanwhile bah the;true;while under atop;2025-01-03;jump gosh instructive;2025-01-04
